City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Arraial Do Cabo,BR,2022-01-09 19:32:31,-22.9661,-42.0278,73.26,83,100,3.44,light intensity drizzle
163,Pringsewu,ID,2022-01-09 19:36:22,-5.3582,104.9744,73.99,97,92,3.24,moderate rain
164,Maniitsoq,GL,2022-01-09 19:36:23,65.4167,-52.9,10.6,89,100,1.23,light snow
165,Korla,CN,2022-01-09 19:36:23,41.7597,86.1469,24.85,65,100,7.31,overcast clouds
166,Aklavik,CA,2022-01-09 19:36:23,68.2191,-135.0107,-24.77,75,40,3.44,scattered clouds
167,Qarchak,IR,2022-01-09 19:36:24,35.4394,51.5689,43.47,39,0,2.37,clear sky
168,Kamaishi,JP,2022-01-09 19:36:24,39.2667,141.8833,32.29,78,100,5.5,overcast clouds
169,Nuuk,GL,2022-01-09 19:36:24,64.1835,-51.7216,14.61,79,75,6.91,light shower snow
170,Hilo,US,2022-01-09 19:32:09,19.7297,-155.09,76.12,71,0,4.61,clear sky
171,Magura Ilvei,RO,2022-01-09 19:36:25,47.3833,24.8,32.18,95,99,3.38,overcast clouds
172,Kruisfontein,ZA,2022-01-09 19:36:25,-34.0033,24.7314,69.4,92,86,5.48,overcast clouds
173,Inuvik,CA,2022-01-09 19:36:26,68.3499,-133.7218,-20.99,72,75,3.44,light snow
174,Alofi,NU,2022-01-09 19:36:26,-19.0595,-169.9187,80.49,89,83,5.75,broken clouds
175,Kinsale,IE,2022-01-09 19:36:26,51.7075,-8.5306,49.37,93,100,3.44,light intensity drizzle
176,Inhambane,MZ,2022-01-09 19:36:26,-23.865,35.3833,75.81,85,99,8.48,light rain
177,Vaini,TO,2022-01-09 19:36:27,-21.2,-175.2,77.16,94,100,5.75,overcast clouds
178,Bathsheba,BB,2022-01-09 19:36:27,13.2167,-59.5167,83.01,61,75,20.71,broken clouds
179,Torbat-E Jam,IR,2022-01-09 19:36:27,35.244,60.6225,38.21,47,0,2.59,clear sky
180,Cam Ranh,VN,2022-01-09 19:36:28,11.9214,109.1591,73.36,94,40,5.75,scattered clouds
181,Carnarvon,AU,2022-01-09 19:36:28,-24.8667,113.6333,71.67,73,0,17.27,clear sky
182,Nelson Bay,AU,2022-01-09 19:36:28,-32.7167,152.15,73.96,91,3,1.01,clear sky
183,Luangwa,ZM,2022-01-09 19:37:29,-15.6167,30.4167,71.58,92,100,2.46,overcast clouds
184,Ponta Do Sol,PT,2022-01-09 19:37:29,32.6667,-17.1,66.13,50,96,10.29,overcast clouds
185,Mar Del Plata,AR,2022-01-09 19:36:20,-38.0023,-57.5575,83.08,1,0,10.0,clear sky
186,Taunsa,PK,2022-01-09 19:37:30,30.7048,70.6505,53.17,66,0,0.72,clear sky
187,Halifax,CA,2022-01-09 19:37:30,44.6453,-63.5724,39.25,85,100,10.0,light rain
188,La Asuncion,VE,2022-01-09 19:37:30,11.0333,-63.8628,82.13,61,13,16.11,few clouds
189,Sassandra,CI,2022-01-09 19:37:31,4.95,-6.0833,80.33,84,88,7.96,overcast clouds
190,Salalah,OM,2022-01-09 19:37:31,17.0151,54.0924,69.89,52,0,4.61,clear sky
191,Moron,AR,2022-01-09 19:37:31,-34.6534,-58.6198,91.94,42,59,5.01,broken clouds
192,Tazovskiy,RU,2022-01-09 19:37:31,67.4667,78.7,-8.93,96,100,8.77,overcast clouds
193,La Palma,US,2022-01-09 19:37:32,33.8464,-118.0467,75.16,36,20,5.01,few clouds
194,Syracuse,IT,2022-01-09 19:36:32,37.0881,15.2792,54.32,68,79,27.69,broken clouds
195,Balkhash,KZ,2022-01-09 19:37:32,46.844,74.9804,12.87,76,90,13.04,overcast clouds
196,Arenillas,ES,2022-01-09 19:37:33,41.3471,-2.8462,48.09,93,100,21.23,overcast clouds
197,Lower Hutt,NZ,2022-01-09 19:37:33,-41.2167,174.9167,68.02,81,100,16.11,overcast clouds
198,Ust-Nera,RU,2022-01-09 19:37:33,64.5667,143.2,-23.91,99,68,3.22,broken clouds
199,Victoria,HK,2022-01-09 19:34:03,22.2855,114.1577,64.38,83,9,1.01,clear sky
200,Pevek,RU,2022-01-09 19:37:34,69.7008,170.3133,-16.13,100,89,1.68,overcast clouds
201,Hohhot,CN,2022-01-09 19:36:04,40.8106,111.6522,16.09,62,0,13.42,clear sky
202,Pangai,TO,2022-01-09 19:37:34,-19.8,-174.35,78.91,78,100,14.97,overcast clouds
203,Huarmey,PE,2022-01-09 19:37:35,-10.0681,-78.1522,76.68,69,10,12.06,clear sky
204,Zheleznodorozhnyy,RU,2022-01-09 19:37:35,55.7503,38.0042,21.22,96,100,6.62,snow
205,Fairbanks,US,2022-01-09 19:35:32,64.8378,-147.7164,-20.2,72,0,9.22,clear sky
206,Hervey Bay,AU,2022-01-09 19:37:35,-25.2986,152.8535,72.01,92,34,3.0,scattered clouds
207,Tuktoyaktuk,CA,2022-01-09 19:37:36,69.4541,-133.0374,-22.0,76,20,12.66,few clouds
208,Coahuayana,MX,2022-01-09 19:37:36,18.7333,-103.6833,89.08,34,24,6.73,few clouds
209,Meadow Lake,US,2022-01-09 19:37:36,34.8014,-106.5436,48.61,44,5,2.55,clear sky
210,Qandala,SO,2022-01-09 19:37:37,11.472,49.8728,73.83,72,8,8.19,clear sky
211,Port Lincoln,AU,2022-01-09 19:37:37,-34.7333,135.8667,68.0,72,94,5.46,overcast clouds
212,Pisco,PE,2022-01-09 19:37:38,-13.7,-76.2167,82.45,57,0,19.57,clear sky
213,Kamenka,RU,2022-01-09 19:37:38,51.3223,42.7678,22.75,82,100,16.02,overcast clouds
214,Lusaka,ZM,2022-01-09 19:37:38,-15.4067,28.2871,65.1,97,100,4.27,overcast clouds
215,Balkanabat,TM,2022-01-09 19:37:39,39.5108,54.3671,47.53,59,0,9.89,clear sky
216,Andenes,NO,2022-01-09 19:37:39,69.3143,16.1194,19.38,86,75,8.05,broken clouds
217,Verkhoyansk,RU,2022-01-09 19:37:39,67.5447,133.385,-35.81,99,38,1.43,scattered clouds
218,Benguela,AO,2022-01-09 19:37:40,-12.5763,13.4055,74.05,84,68,3.8,broken clouds
219,Bengkulu,ID,2022-01-09 19:37:40,-3.8004,102.2655,75.63,90,99,3.76,light rain
220,Puerto Ayora,EC,2022-01-09 19:37:40,-0.7393,-90.3518,80.56,79,99,6.87,overcast clouds
221,Abilene,US,2022-01-09 19:37:40,32.4487,-99.7331,46.33,47,100,7.0,overcast clouds
222,Assiniboia,CA,2022-01-09 19:37:41,49.6334,-105.9845,-4.09,54,51,2.3,broken clouds
223,Aranos,,2022-01-09 19:35:01,-24.1333,19.1167,75.49,59,92,13.89,light rain
224,Norman Wells,CA,2022-01-09 19:37:41,65.282,-126.8329,-39.96,67,20,3.44,few clouds
225,Pangody,RU,2022-01-09 19:37:41,65.85,74.4859,-13.88,99,99,6.78,overcast clouds
226,Paamiut,GL,2022-01-09 19:37:42,61.994,-49.6678,12.45,86,100,24.99,light snow
227,Ancud,CL,2022-01-09 19:37:42,-41.8697,-73.8203,73.42,82,83,12.82,broken clouds
228,Shenjiamen,CN,2022-01-09 19:37:42,29.9576,122.298,45.64,73,82,9.06,broken clouds
229,Anjozorobe,MG,2022-01-09 19:37:43,-18.4,47.8667,68.32,94,100,7.16,light rain
230,Porto Novo,BJ,2022-01-09 19:37:43,6.4965,2.6036,84.02,71,45,7.43,scattered clouds
231,Sao Joao Batista,BR,2022-01-09 19:37:43,-27.2761,-48.8494,75.76,83,98,5.21,overcast clouds
232,Roma,US,2022-01-09 19:37:44,43.2128,-75.4557,40.86,93,100,5.75,overcast clouds
233,Marathon,US,2022-01-09 19:38:44,44.9,-89.7668,7.0,63,0,1.01,clear sky
234,Harindanga,IN,2022-01-09 19:38:44,22.0383,88.3214,66.18,60,0,3.8,clear sky
235,Yangjiang,CN,2022-01-09 19:38:45,21.85,111.9667,59.88,74,61,5.53,broken clouds
236,Ojinaga,MX,2022-01-09 19:38:45,29.5667,-104.4167,69.42,28,0,16.11,clear sky
237,Sobolevo,RU,2022-01-09 19:38:45,54.4299,31.8996,21.87,96,100,5.86,snow
238,Sadsalan,PH,2022-01-09 19:38:46,6.8231,124.6222,75.09,91,100,1.5,overcast clouds
239,Shimoda,JP,2022-01-09 19:38:46,34.6667,138.95,47.1,79,88,16.13,overcast clouds
240,Constitucion,CL,2022-01-09 19:38:46,-35.3333,-72.4167,68.36,66,25,7.02,scattered clouds
241,Mangrol,IN,2022-01-09 19:38:46,21.1167,70.1167,60.85,57,0,10.94,clear sky
242,Beeville,US,2022-01-09 19:38:47,28.4008,-97.7483,77.52,78,40,9.22,scattered clouds
243,Clonakilty,IE,2022-01-09 19:38:47,51.6231,-8.8706,49.21,95,100,12.95,overcast clouds
244,Nizhniy Kuranakh,RU,2022-01-09 19:34:55,58.8353,125.4869,-27.31,99,99,2.66,overcast clouds
245,Qaanaaq,GL,2022-01-09 19:38:47,77.484,-69.3632,2.21,74,95,6.38,overcast clouds
246,Rawah,IQ,2022-01-09 19:38:48,34.4816,41.9093,54.82,51,97,13.47,overcast clouds
247,Henties Bay,,2022-01-09 19:38:48,-22.116,14.2845,62.74,92,31,7.36,scattered clouds
248,Guerrero Negro,MX,2022-01-09 19:38:48,27.9769,-114.0611,65.61,52,100,4.0,overcast clouds
249,Milicz,PL,2022-01-09 19:38:45,51.5277,17.2714,33.21,73,100,5.1,overcast clouds
250,Komsomolskiy,UZ,2022-01-09 19:38:49,40.4272,71.7189,39.92,65,75,2.3,haze
251,Gimli,CA,2022-01-09 19:38:49,50.6336,-96.9907,-8.57,49,7,9.22,clear sky
252,Lakki Marwat,PK,2022-01-09 19:38:49,32.6079,70.9114,53.38,70,0,2.33,clear sky
253,Hirara,JP,2022-01-09 19:38:49,24.8,125.2833,68.56,74,100,20.11,overcast clouds
254,Ust-Kuyga,RU,2022-01-09 19:38:50,70.0167,135.6,-27.42,99,85,10.42,overcast clouds
255,Savannah Bight,HN,2022-01-09 19:38:50,16.45,-85.85,84.25,74,1,18.77,clear sky
256,Seoul,KR,2022-01-09 19:35:05,37.5683,126.9778,22.51,90,20,2.3,mist
257,Puerto Carreno,CO,2022-01-09 19:38:50,6.189,-67.4859,91.38,40,40,13.8,scattered clouds
258,Vernon,CA,2022-01-09 19:37:20,50.2581,-119.2691,33.98,80,100,1.72,overcast clouds
